,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2
0,9.3,0.016047301,4,249.8092,22,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,5.92,0.019278216,14,48.2692,12,3,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
2,17.5,0.016760075,10,141.618,22,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3,19.2,0.06613202877895107,6,182.095,23,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
4,8.93,0.06613202877895107,9,53.8614,34,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5,10.395,0.06613202877895107,0,51.4008,12,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
6,13.65,0.012741088999999999,13,57.6588,34,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
7,12.857645184135976,0.127469857,13,107.7622,36,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
8,16.2,0.016687114,5,96.9726,19,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
9,19.2,0.09444959,5,187.8214,14,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
10,11.8,0.06613202877895107,6,45.5402,22,9,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
11,18.5,0.045463773,4,144.1102,24,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
12,15.1,0.1000135,6,145.4786,22,9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
13,17.6,0.047257328,13,119.6782,24,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
14,16.35,0.06802430000000001,6,196.4426,34,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
15,9.0,0.06908896099999999,2,56.3614,24,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
16,11.8,0.008596051,8,115.3492,12,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
17,9.0,0.06919637599999999,2,54.3614,22,9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
18,12.857645184135976,0.034237682,7,113.2834,36,5,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
19,13.35,0.10249212,4,230.5352,17,6,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
20,18.85,0.138190277,13,250.8724,34,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
21,12.857645184135976,0.035399923,0,144.5444,36,5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
22,14.6,0.025698133999999997,9,196.5084,17,6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
23,12.857645184135976,0.057556998,0,107.6938,36,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
24,13.85,0.025896485,5,165.021,24,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
25,13.0,0.099887103,9,45.906000000000006,14,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
